Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4688 | games   640 | time 1s/300s
step 3470 | loss 0.2739 | games 222080 | time 218s/300s
step 3480 | loss 0.2481 | games 222720 | time 219s/300s
step 3490 | loss 0.2925 | games 223360 | time 220s/300s
step 3500 | loss 0.2954 | games 224000 | time 220s/300s
step 3510 | loss 0.2560 | games 224640 | time 221s/300s
step 3520 | loss 0.2845 | games 225280 | time 221s/300s
step 3530 | loss 0.2531 | games 225920 | time 222s/300s
step 3540 | loss 0.2523 | games 226560 | time 222s/300s
step 3550 | loss 0.2811 | games 227200 | time 223s/300s
step 3560 | loss 0.2342 | games 227840 | time 224s/300s
step 3570 | loss 0.2708 | games 228480 | time 224s/300s
step 3580 | loss 0.2924 | games 229120 | time 225s/300s
step 3590 | loss 0.2726 | games 229760 | time 225s/300s
step 3600 | loss 0.2668 | games 230400 | time 226s/300s
step 3610 | loss 0.2614 | games 231040 | time 227s/300s
step 3620 | loss 0.2897 | games 231680 | time 227s/300s
step 3630 | loss 0.2762 | games 232320 | time 228s/300s
step 3640 | loss 0.2815 | games 232960 | time 228s/300s
step 3650 | loss 0.2997 | games 233600 | time 229s/300s
step 3660 | loss 0.2881 | games 234240 | time 229s/300s
step 3670 | loss 0.3008 | games 234880 | time 230s/300s
step 3680 | loss 0.2838 | games 235520 | time 231s/300s
step 3690 | loss 0.2839 | games 236160 | time 232s/300s
step 3700 | loss 0.2595 | games 236800 | time 232s/300s
step 3710 | loss 0.2853 | games 237440 | time 233s/300s
step 3720 | loss 0.2746 | games 238080 | time 233s/300s
step 3730 | loss 0.2939 | games 238720 | time 234s/300s
step 3740 | loss 0.3066 | games 239360 | time 235s/300s
step 3750 | loss 0.3082 | games 240000 | time 235s/300s
step 3760 | loss 0.2796 | games 240640 | time 236s/300s
step 3770 | loss 0.2795 | games 241280 | time 236s/300s
step 3780 | loss 0.2924 | games 241920 | time 237s/300s
step 3790 | loss 0.2559 | games 242560 | time 238s/300s
step 3800 | loss 0.2618 | games 243200 | time 238s/300s
step 3810 | loss 0.2316 | games 243840 | time 239s/300s
step 3820 | loss 0.2805 | games 244480 | time 239s/300s
step 3830 | loss 0.2887 | games 245120 | time 240s/300s
step 3840 | loss 0.2835 | games 245760 | time 241s/300s
step 3850 | loss 0.2928 | games 246400 | time 241s/300s
step 3860 | loss 0.2867 | games 247040 | time 242s/300s
step 3870 | loss 0.2887 | games 247680 | time 243s/300s
step 3880 | loss 0.2661 | games 248320 | time 243s/300s
step 3890 | loss 0.2903 | games 248960 | time 244s/300s
step 3900 | loss 0.2468 | games 249600 | time 244s/300s
step 3910 | loss 0.2927 | games 250240 | time 245s/300s
step 3920 | loss 0.2299 | games 250880 | time 246s/300s
step 3930 | loss 0.2003 | games 251520 | time 246s/300s
step 3940 | loss 0.1989 | games 252160 | time 247s/300s
step 3950 | loss 0.2299 | games 252800 | time 247s/300s
step 3960 | loss 0.2860 | games 253440 | time 248s/300s
step 3970 | loss 0.3048 | games 254080 | time 248s/300s
step 3980 | loss 0.2988 | games 254720 | time 249s/300s
step 3990 | loss 0.2838 | games 255360 | time 250s/300s
step 4000 | loss 0.2608 | games 256000 | time 250s/300s
step 4010 | loss 0.2547 | games 256640 | time 251s/300s
step 4020 | loss 0.2865 | games 257280 | time 251s/300s
step 4030 | loss 0.2716 | games 257920 | time 252s/300s
step 4040 | loss 0.3123 | games 258560 | time 253s/300s
step 4050 | loss 0.3110 | games 259200 | time 253s/300s
step 4060 | loss 0.2859 | games 259840 | time 254s/300s
step 4070 | loss 0.3044 | games 260480 | time 254s/300s
step 4080 | loss 0.2914 | games 261120 | time 255s/300s
step 4090 | loss 0.2962 | games 261760 | time 256s/300s
step 4100 | loss 0.2876 | games 262400 | time 256s/300s
step 4110 | loss 0.2792 | games 263040 | time 257s/300s
step 4120 | loss 0.2602 | games 263680 | time 257s/300s
step 4130 | loss 0.2635 | games 264320 | time 258s/300s
step 4140 | loss 0.2774 | games 264960 | time 259s/300s
step 4150 | loss 0.2972 | games 265600 | time 259s/300s
step 4160 | loss 0.3002 | games 266240 | time 260s/300s
step 4170 | loss 0.3104 | games 266880 | time 261s/300s
step 4180 | loss 0.2972 | games 267520 | time 261s/300s
step 4190 | loss 0.3123 | games 268160 | time 262s/300s
step 4200 | loss 0.2862 | games 268800 | time 263s/300s
step 4210 | loss 0.2589 | games 269440 | time 263s/300s
step 4220 | loss 0.2711 | games 270080 | time 264s/300s
step 4230 | loss 0.2856 | games 270720 | time 264s/300s
step 4240 | loss 0.3173 | games 271360 | time 265s/300s
step 4250 | loss 0.2546 | games 272000 | time 266s/300s
step 4260 | loss 0.2652 | games 272640 | time 266s/300s
step 4270 | loss 0.2822 | games 273280 | time 267s/300s
step 4280 | loss 0.2472 | games 273920 | time 268s/300s
step 4290 | loss 0.2627 | games 274560 | time 268s/300s
step 4300 | loss 0.2710 | games 275200 | time 269s/300s
step 4310 | loss 0.2805 | games 275840 | time 269s/300s
step 4320 | loss 0.2584 | games 276480 | time 270s/300s
step 4330 | loss 0.2661 | games 277120 | time 271s/300s
step 4340 | loss 0.2809 | games 277760 | time 271s/300s
step 4350 | loss 0.2929 | games 278400 | time 272s/300s
step 4360 | loss 0.2836 | games 279040 | time 273s/300s
step 4370 | loss 0.2615 | games 279680 | time 273s/300s
step 4380 | loss 0.2571 | games 280320 | time 274s/300s
step 4390 | loss 0.2894 | games 280960 | time 274s/300s
step 4400 | loss 0.2904 | games 281600 | time 275s/300s
step 4410 | loss 0.3284 | games 282240 | time 276s/300s
step 4420 | loss 0.3110 | games 282880 | time 276s/300s
step 4430 | loss 0.3208 | games 283520 | time 277s/300s
step 4440 | loss 0.3513 | games 284160 | time 277s/300s
step 4450 | loss 0.3397 | games 284800 | time 278s/300s
step 4460 | loss 0.3110 | games 285440 | time 279s/300s
step 4470 | loss 0.3113 | games 286080 | time 279s/300s
step 4480 | loss 0.2772 | games 286720 | time 280s/300s
step 4490 | loss 0.2908 | games 287360 | time 280s/300s
step 4500 | loss 0.2756 | games 288000 | time 281s/300s
step 4510 | loss 0.2969 | games 288640 | time 282s/300s
step 4520 | loss 0.3172 | games 289280 | time 282s/300s
step 4530 | loss 0.2886 | games 289920 | time 283s/300s
step 4540 | loss 0.2718 | games 290560 | time 283s/300s
step 4550 | loss 0.2795 | games 291200 | time 284s/300s
step 4560 | loss 0.2387 | games 291840 | time 285s/300s
step 4570 | loss 0.2737 | games 292480 | time 285s/300s
step 4580 | loss 0.2853 | games 293120 | time 286s/300s
step 4590 | loss 0.2882 | games 293760 | time 286s/300s
step 4600 | loss 0.2822 | games 294400 | time 287s/300s
step 4610 | loss 0.2668 | games 295040 | time 288s/300s
step 4620 | loss 0.2828 | games 295680 | time 288s/300s
step 4630 | loss 0.2669 | games 296320 | time 289s/300s
step 4640 | loss 0.2695 | games 296960 | time 289s/300s
step 4650 | loss 0.2925 | games 297600 | time 290s/300s
step 4660 | loss 0.2588 | games 298240 | time 291s/300s
step 4670 | loss 0.2549 | games 298880 | time 291s/300s
step 4680 | loss 0.2503 | games 299520 | time 292s/300s
step 4690 | loss 0.2474 | games 300160 | time 292s/300s
