Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.5253 | games   640 | time 1s/300s
step 3770 | loss 0.2459 | games 241280 | time 209s/300s
step 3780 | loss 0.2517 | games 241920 | time 210s/300s
step 3790 | loss 0.2733 | games 242560 | time 210s/300s
step 3800 | loss 0.2788 | games 243200 | time 211s/300s
step 3810 | loss 0.2957 | games 243840 | time 211s/300s
step 3820 | loss 0.2661 | games 244480 | time 212s/300s
step 3830 | loss 0.2576 | games 245120 | time 213s/300s
step 3840 | loss 0.2552 | games 245760 | time 213s/300s
step 3850 | loss 0.2409 | games 246400 | time 214s/300s
step 3860 | loss 0.2498 | games 247040 | time 214s/300s
step 3870 | loss 0.2501 | games 247680 | time 215s/300s
step 3880 | loss 0.2563 | games 248320 | time 215s/300s
step 3890 | loss 0.2543 | games 248960 | time 216s/300s
step 3900 | loss 0.2378 | games 249600 | time 216s/300s
step 3910 | loss 0.2425 | games 250240 | time 217s/300s
step 3920 | loss 0.2607 | games 250880 | time 217s/300s
step 3930 | loss 0.2498 | games 251520 | time 218s/300s
step 3940 | loss 0.2777 | games 252160 | time 219s/300s
step 3950 | loss 0.2465 | games 252800 | time 219s/300s
step 3960 | loss 0.2385 | games 253440 | time 220s/300s
step 3970 | loss 0.2628 | games 254080 | time 220s/300s
step 3980 | loss 0.2736 | games 254720 | time 221s/300s
step 3990 | loss 0.2446 | games 255360 | time 221s/300s
step 4000 | loss 0.2026 | games 256000 | time 222s/300s
step 4010 | loss 0.1758 | games 256640 | time 222s/300s
step 4020 | loss 0.2485 | games 257280 | time 223s/300s
step 4030 | loss 0.2432 | games 257920 | time 224s/300s
step 4040 | loss 0.2124 | games 258560 | time 224s/300s
step 4050 | loss 0.2305 | games 259200 | time 225s/300s
step 4060 | loss 0.2182 | games 259840 | time 225s/300s
step 4070 | loss 0.2081 | games 260480 | time 226s/300s
step 4080 | loss 0.2485 | games 261120 | time 226s/300s
step 4090 | loss 0.2789 | games 261760 | time 227s/300s
step 4100 | loss 0.2687 | games 262400 | time 227s/300s
step 4110 | loss 0.2743 | games 263040 | time 228s/300s
step 4120 | loss 0.2917 | games 263680 | time 229s/300s
step 4130 | loss 0.2887 | games 264320 | time 229s/300s
step 4140 | loss 0.2445 | games 264960 | time 230s/300s
step 4150 | loss 0.2905 | games 265600 | time 230s/300s
step 4160 | loss 0.2906 | games 266240 | time 231s/300s
step 4170 | loss 0.2765 | games 266880 | time 231s/300s
