Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.3937 | games   640 | time 2s/300s
step 2840 | loss 0.2144 | games 181760 | time 244s/300s
step 2850 | loss 0.2352 | games 182400 | time 245s/300s
step 2860 | loss 0.2347 | games 183040 | time 246s/300s
step 2870 | loss 0.2187 | games 183680 | time 247s/300s
step 2880 | loss 0.2095 | games 184320 | time 247s/300s
step 2890 | loss 0.2278 | games 184960 | time 248s/300s
step 2900 | loss 0.2180 | games 185600 | time 249s/300s
step 2910 | loss 0.2052 | games 186240 | time 250s/300s
step 2920 | loss 0.2410 | games 186880 | time 251s/300s
step 2930 | loss 0.2230 | games 187520 | time 252s/300s
step 2940 | loss 0.2276 | games 188160 | time 253s/300s
step 2950 | loss 0.2183 | games 188800 | time 253s/300s
step 2960 | loss 0.1882 | games 189440 | time 254s/300s
step 2970 | loss 0.1981 | games 190080 | time 255s/300s
step 2980 | loss 0.2060 | games 190720 | time 256s/300s
step 2990 | loss 0.2149 | games 191360 | time 257s/300s
step 3000 | loss 0.2186 | games 192000 | time 258s/300s
step 3010 | loss 0.2033 | games 192640 | time 259s/300s
step 3020 | loss 0.2283 | games 193280 | time 260s/300s
step 3030 | loss 0.2098 | games 193920 | time 261s/300s
step 3040 | loss 0.2419 | games 194560 | time 261s/300s
step 3050 | loss 0.2224 | games 195200 | time 262s/300s
step 3060 | loss 0.2263 | games 195840 | time 263s/300s
step 3070 | loss 0.2336 | games 196480 | time 264s/300s
step 3080 | loss 0.2366 | games 197120 | time 265s/300s
step 3090 | loss 0.2279 | games 197760 | time 266s/300s
step 3100 | loss 0.2291 | games 198400 | time 267s/300s
step 3110 | loss 0.2082 | games 199040 | time 268s/300s
step 3120 | loss 0.1987 | games 199680 | time 269s/300s
step 3130 | loss 0.2148 | games 200320 | time 269s/300s
step 3140 | loss 0.2092 | games 200960 | time 270s/300s
step 3150 | loss 0.2294 | games 201600 | time 271s/300s
step 3160 | loss 0.1981 | games 202240 | time 272s/300s
step 3170 | loss 0.2273 | games 202880 | time 273s/300s
step 3180 | loss 0.2143 | games 203520 | time 274s/300s
step 3190 | loss 0.2189 | games 204160 | time 275s/300s
step 3200 | loss 0.2334 | games 204800 | time 276s/300s
step 3210 | loss 0.2146 | games 205440 | time 276s/300s
step 3220 | loss 0.2029 | games 206080 | time 277s/300s
step 3230 | loss 0.1938 | games 206720 | time 278s/300s
step 3240 | loss 0.2028 | games 207360 | time 279s/300s
step 3250 | loss 0.2118 | games 208000 | time 280s/300s
step 3260 | loss 0.2148 | games 208640 | time 281s/300s
step 3270 | loss 0.2140 | games 209280 | time 282s/300s
step 3280 | loss 0.1964 | games 209920 | time 283s/300s
step 3290 | loss 0.2012 | games 210560 | time 283s/300s
step 3300 | loss 0.2027 | games 211200 | time 284s/300s
step 3310 | loss 0.1800 | games 211840 | time 285s/300s
step 3320 | loss 0.1872 | games 212480 | time 286s/300s
step 3330 | loss 0.2092 | games 213120 | time 287s/300s
step 3340 | loss 0.2050 | games 213760 | time 288s/300s
step 3350 | loss 0.2179 | games 214400 | time 288s/300s
step 3360 | loss 0.2274 | games 215040 | time 289s/300s
step 3370 | loss 0.2250 | games 215680 | time 290s/300s
step 3380 | loss 0.2091 | games 216320 | time 291s/300s
step 3390 | loss 0.2114 | games 216960 | time 292s/300s
step 3400 | loss 0.1875 | games 217600 | time 293s/300s
step 3410 | loss 0.1933 | games 218240 | time 294s/300s
step 3420 | loss 0.1764 | games 218880 | time 295s/300s
step 3430 | loss 0.2095 | games 219520 | time 295s/300s
step 3440 | loss 0.2005 | games 220160 | time 296s/300s
step 3450 | loss 0.2142 | games 220800 | time 297s/300s
step 3460 | loss 0.1773 | games 221440 | time 298s/300s
step 3470 | loss 0.2106 | games 222080 | time 299s/300s
step 3480 | loss 0.2281 | games 222720 | time 300s/300s

Training complete: 3483 steps, 222912 games, 300.1s

Evaluating against opponent suite...

Per-opponent results:
