Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4946 | games   640 | time 1s/300s
step 3520 | loss 0.2646 | games 225280 | time 205s/300s
step 3530 | loss 0.2641 | games 225920 | time 205s/300s
step 3540 | loss 0.2743 | games 226560 | time 206s/300s
step 3550 | loss 0.2881 | games 227200 | time 206s/300s
step 3560 | loss 0.2718 | games 227840 | time 207s/300s
step 3570 | loss 0.2610 | games 228480 | time 207s/300s
step 3580 | loss 0.2628 | games 229120 | time 208s/300s
step 3590 | loss 0.2560 | games 229760 | time 208s/300s
step 3600 | loss 0.2413 | games 230400 | time 209s/300s
step 3610 | loss 0.2057 | games 231040 | time 209s/300s
step 3620 | loss 0.2389 | games 231680 | time 210s/300s
step 3630 | loss 0.2285 | games 232320 | time 210s/300s
step 3640 | loss 0.2491 | games 232960 | time 211s/300s
step 3650 | loss 0.2752 | games 233600 | time 211s/300s
step 3660 | loss 0.2696 | games 234240 | time 212s/300s
step 3670 | loss 0.2744 | games 234880 | time 212s/300s
step 3680 | loss 0.3018 | games 235520 | time 213s/300s
step 3690 | loss 0.2655 | games 236160 | time 214s/300s
step 3700 | loss 0.2555 | games 236800 | time 214s/300s
step 3710 | loss 0.2272 | games 237440 | time 215s/300s
step 3720 | loss 0.2374 | games 238080 | time 215s/300s
step 3730 | loss 0.2582 | games 238720 | time 216s/300s
step 3740 | loss 0.2705 | games 239360 | time 216s/300s
step 3750 | loss 0.2659 | games 240000 | time 217s/300s
step 3760 | loss 0.2672 | games 240640 | time 218s/300s
step 3770 | loss 0.2741 | games 241280 | time 218s/300s
step 3780 | loss 0.2686 | games 241920 | time 219s/300s
step 3790 | loss 0.2435 | games 242560 | time 219s/300s
step 3800 | loss 0.2833 | games 243200 | time 220s/300s
step 3810 | loss 0.3034 | games 243840 | time 221s/300s
step 3820 | loss 0.2498 | games 244480 | time 221s/300s
step 3830 | loss 0.2382 | games 245120 | time 222s/300s
step 3840 | loss 0.2742 | games 245760 | time 222s/300s
step 3850 | loss 0.2555 | games 246400 | time 223s/300s
step 3860 | loss 0.2852 | games 247040 | time 223s/300s
step 3870 | loss 0.2523 | games 247680 | time 224s/300s
step 3880 | loss 0.2494 | games 248320 | time 224s/300s
step 3890 | loss 0.3251 | games 248960 | time 225s/300s
step 3900 | loss 0.3503 | games 249600 | time 226s/300s
step 3910 | loss 0.3194 | games 250240 | time 226s/300s
step 3920 | loss 0.2599 | games 250880 | time 227s/300s
step 3930 | loss 0.2301 | games 251520 | time 227s/300s
