Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4722 | games   640 | time 1s/300s
step 2330 | loss 0.2487 | games 149120 | time 130s/300s
step 2340 | loss 0.2479 | games 149760 | time 131s/300s
step 2350 | loss 0.2180 | games 150400 | time 131s/300s
step 2360 | loss 0.2637 | games 151040 | time 132s/300s
step 2370 | loss 0.2717 | games 151680 | time 132s/300s
step 2380 | loss 0.2900 | games 152320 | time 133s/300s
step 2390 | loss 0.2625 | games 152960 | time 133s/300s
step 2400 | loss 0.2697 | games 153600 | time 134s/300s
step 2410 | loss 0.3235 | games 154240 | time 135s/300s
step 2420 | loss 0.3650 | games 154880 | time 135s/300s
step 2430 | loss 0.3678 | games 155520 | time 136s/300s
step 2440 | loss 0.3340 | games 156160 | time 137s/300s
step 2450 | loss 0.3528 | games 156800 | time 137s/300s
step 2460 | loss 0.3284 | games 157440 | time 138s/300s
step 2470 | loss 0.3503 | games 158080 | time 138s/300s
step 2480 | loss 0.2897 | games 158720 | time 139s/300s
step 2490 | loss 0.2848 | games 159360 | time 139s/300s
step 2500 | loss 0.2999 | games 160000 | time 140s/300s
step 2510 | loss 0.2753 | games 160640 | time 140s/300s
step 2520 | loss 0.2877 | games 161280 | time 141s/300s
step 2530 | loss 0.2932 | games 161920 | time 141s/300s
step 2540 | loss 0.2384 | games 162560 | time 142s/300s
step 2550 | loss 0.2509 | games 163200 | time 142s/300s
step 2560 | loss 0.2295 | games 163840 | time 143s/300s
step 2570 | loss 0.2527 | games 164480 | time 143s/300s
step 2580 | loss 0.2241 | games 165120 | time 144s/300s
step 2590 | loss 0.2279 | games 165760 | time 144s/300s
step 2600 | loss 0.2636 | games 166400 | time 145s/300s
step 2610 | loss 0.2712 | games 167040 | time 145s/300s
step 2620 | loss 0.2651 | games 167680 | time 146s/300s
step 2630 | loss 0.2550 | games 168320 | time 146s/300s
step 2640 | loss 0.1921 | games 168960 | time 147s/300s
step 2650 | loss 0.1788 | games 169600 | time 147s/300s
step 2660 | loss 0.2092 | games 170240 | time 148s/300s
step 2670 | loss 0.2506 | games 170880 | time 148s/300s
step 2680 | loss 0.2712 | games 171520 | time 149s/300s
step 2690 | loss 0.2485 | games 172160 | time 149s/300s
step 2700 | loss 0.2471 | games 172800 | time 150s/300s
step 2710 | loss 0.2636 | games 173440 | time 150s/300s
step 2720 | loss 0.2330 | games 174080 | time 151s/300s
step 2730 | loss 0.2832 | games 174720 | time 151s/300s
step 2740 | loss 0.2389 | games 175360 | time 152s/300s
step 2750 | loss 0.2333 | games 176000 | time 152s/300s
step 2760 | loss 0.2667 | games 176640 | time 153s/300s
step 2770 | loss 0.2723 | games 177280 | time 154s/300s
step 2780 | loss 0.3014 | games 177920 | time 154s/300s
step 2790 | loss 0.3061 | games 178560 | time 155s/300s
step 2800 | loss 0.3230 | games 179200 | time 155s/300s
step 2810 | loss 0.2845 | games 179840 | time 156s/300s
step 2820 | loss 0.2624 | games 180480 | time 156s/300s
step 2830 | loss 0.2677 | games 181120 | time 157s/300s
step 2840 | loss 0.2578 | games 181760 | time 157s/300s
step 2850 | loss 0.2505 | games 182400 | time 158s/300s
step 2860 | loss 0.2905 | games 183040 | time 158s/300s
step 2870 | loss 0.2740 | games 183680 | time 159s/300s
step 2880 | loss 0.2785 | games 184320 | time 160s/300s
step 2890 | loss 0.3053 | games 184960 | time 160s/300s
step 2900 | loss 0.2989 | games 185600 | time 161s/300s
step 2910 | loss 0.2968 | games 186240 | time 161s/300s
step 2920 | loss 0.2622 | games 186880 | time 162s/300s
step 2930 | loss 0.2532 | games 187520 | time 162s/300s
step 2940 | loss 0.2813 | games 188160 | time 163s/300s
step 2950 | loss 0.2862 | games 188800 | time 163s/300s
step 2960 | loss 0.3042 | games 189440 | time 164s/300s
step 2970 | loss 0.2872 | games 190080 | time 164s/300s
step 2980 | loss 0.2478 | games 190720 | time 165s/300s
step 2990 | loss 0.2655 | games 191360 | time 166s/300s
step 3000 | loss 0.2836 | games 192000 | time 166s/300s
step 3010 | loss 0.2635 | games 192640 | time 167s/300s
step 3020 | loss 0.2590 | games 193280 | time 167s/300s
step 3030 | loss 0.2716 | games 193920 | time 168s/300s
step 3040 | loss 0.2788 | games 194560 | time 168s/300s
step 3050 | loss 0.3085 | games 195200 | time 169s/300s
step 3060 | loss 0.3008 | games 195840 | time 170s/300s
step 3070 | loss 0.2901 | games 196480 | time 170s/300s
step 3080 | loss 0.2607 | games 197120 | time 171s/300s
step 3090 | loss 0.2114 | games 197760 | time 171s/300s
step 3100 | loss 0.1946 | games 198400 | time 172s/300s
step 3110 | loss 0.1593 | games 199040 | time 172s/300s
step 3120 | loss 0.1936 | games 199680 | time 173s/300s
step 3130 | loss 0.2398 | games 200320 | time 173s/300s
step 3140 | loss 0.2134 | games 200960 | time 174s/300s
step 3150 | loss 0.2184 | games 201600 | time 174s/300s
step 3160 | loss 0.2091 | games 202240 | time 175s/300s
step 3170 | loss 0.2265 | games 202880 | time 175s/300s
step 3180 | loss 0.2267 | games 203520 | time 176s/300s
step 3190 | loss 0.2138 | games 204160 | time 176s/300s
step 3200 | loss 0.2036 | games 204800 | time 177s/300s
step 3210 | loss 0.2145 | games 205440 | time 177s/300s
step 3220 | loss 0.2308 | games 206080 | time 178s/300s
step 3230 | loss 0.2127 | games 206720 | time 178s/300s
step 3240 | loss 0.2340 | games 207360 | time 179s/300s
step 3250 | loss 0.2729 | games 208000 | time 180s/300s
step 3260 | loss 0.2626 | games 208640 | time 180s/300s
step 3270 | loss 0.2456 | games 209280 | time 181s/300s
step 3280 | loss 0.2693 | games 209920 | time 181s/300s
step 3290 | loss 0.2423 | games 210560 | time 182s/300s
step 3300 | loss 0.2576 | games 211200 | time 182s/300s
step 3310 | loss 0.2518 | games 211840 | time 183s/300s
step 3320 | loss 0.2288 | games 212480 | time 183s/300s
step 3330 | loss 0.2233 | games 213120 | time 184s/300s
step 3340 | loss 0.2355 | games 213760 | time 185s/300s
step 3350 | loss 0.2366 | games 214400 | time 185s/300s
step 3360 | loss 0.2208 | games 215040 | time 186s/300s
step 3370 | loss 0.2457 | games 215680 | time 186s/300s
step 3380 | loss 0.2596 | games 216320 | time 187s/300s
step 3390 | loss 0.1981 | games 216960 | time 187s/300s
step 3400 | loss 0.2083 | games 217600 | time 188s/300s
step 3410 | loss 0.2007 | games 218240 | time 188s/300s
step 3420 | loss 0.2502 | games 218880 | time 189s/300s
step 3430 | loss 0.2507 | games 219520 | time 190s/300s
step 3440 | loss 0.2402 | games 220160 | time 190s/300s
step 3450 | loss 0.2726 | games 220800 | time 191s/300s
step 3460 | loss 0.2229 | games 221440 | time 191s/300s
step 3470 | loss 0.2262 | games 222080 | time 192s/300s
step 3480 | loss 0.2312 | games 222720 | time 192s/300s
step 3490 | loss 0.2489 | games 223360 | time 193s/300s
step 3500 | loss 0.2117 | games 224000 | time 193s/300s
step 3510 | loss 0.1887 | games 224640 | time 194s/300s
step 3520 | loss 0.1857 | games 225280 | time 194s/300s
step 3530 | loss 0.2146 | games 225920 | time 195s/300s
step 3540 | loss 0.1768 | games 226560 | time 195s/300s
