Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15 -> 0.02
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.5230 | games   640 | time 1s/300s
step 2550 | loss 0.2869 | games 163200 | time 138s/300s
step 2560 | loss 0.2008 | games 163840 | time 139s/300s
step 2570 | loss 0.2011 | games 164480 | time 139s/300s
step 2580 | loss 0.2856 | games 165120 | time 140s/300s
step 2590 | loss 0.2619 | games 165760 | time 140s/300s
step 2600 | loss 0.2702 | games 166400 | time 141s/300s
step 2610 | loss 0.2567 | games 167040 | time 142s/300s
step 2620 | loss 0.1609 | games 167680 | time 142s/300s
step 2630 | loss 0.0986 | games 168320 | time 143s/300s
step 2640 | loss 0.1760 | games 168960 | time 143s/300s
step 2650 | loss 0.2947 | games 169600 | time 144s/300s
step 2660 | loss 0.1545 | games 170240 | time 144s/300s
step 2670 | loss 0.2621 | games 170880 | time 144s/300s
step 2680 | loss 0.2799 | games 171520 | time 145s/300s
step 2690 | loss 0.3029 | games 172160 | time 145s/300s
step 2700 | loss 0.2899 | games 172800 | time 146s/300s
step 2710 | loss 0.2675 | games 173440 | time 147s/300s
step 2720 | loss 0.2534 | games 174080 | time 147s/300s
step 2730 | loss 0.2986 | games 174720 | time 148s/300s
step 2740 | loss 0.2805 | games 175360 | time 148s/300s
step 2750 | loss 0.2270 | games 176000 | time 149s/300s
step 2760 | loss 0.2719 | games 176640 | time 149s/300s
step 2770 | loss 0.2789 | games 177280 | time 150s/300s
step 2780 | loss 0.3192 | games 177920 | time 150s/300s
step 2790 | loss 0.3105 | games 178560 | time 151s/300s
step 2800 | loss 0.3360 | games 179200 | time 151s/300s
step 2810 | loss 0.3098 | games 179840 | time 152s/300s
step 2820 | loss 0.3387 | games 180480 | time 152s/300s
step 2830 | loss 0.3216 | games 181120 | time 153s/300s
step 2840 | loss 0.2198 | games 181760 | time 153s/300s
step 2850 | loss 0.2784 | games 182400 | time 154s/300s
step 2860 | loss 0.2601 | games 183040 | time 154s/300s
step 2870 | loss 0.2264 | games 183680 | time 155s/300s
step 2880 | loss 0.2018 | games 184320 | time 155s/300s
step 2890 | loss 0.1399 | games 184960 | time 156s/300s
step 2900 | loss 0.1623 | games 185600 | time 156s/300s
step 2910 | loss 0.1701 | games 186240 | time 157s/300s
